,case_id,sanctioning_state,sanctioned_state,begin,end,trade,arms,military,financial,travel,other,trade_obj,arms_obj,military_obj,financial_obj,travel_obj,other_obj,trade_suc,arms_suc,military_suc,financial_suc,travel_suc,other_suc,objective,success
0,1,Germany,German Democratic Republic,1949,1973,0,0,0,0,0,1,NA,NA,NA,NA,NA,territorial_conflict,NA,NA,NA,NA,NA,success_total,territorial_conflict,success_total
1,2,India,Pakistan,1949,1951,1,0,0,0,0,0,policy_change,NA,NA,NA,NA,NA,nego_settlement,NA,NA,NA,NA,NA,policy_change,nego_settlement
2,3,United States,Bulgaria,1950,1966,0,0,0,0,0,1,NA,NA,NA,NA,NA,destab_regime,NA,NA,NA,NA,NA,failed,destab_regime,failed
3,4,United States,Bulgaria,1950,1959,0,0,0,0,1,0,NA,NA,NA,NA,destab_regime,NA,NA,NA,NA,NA,success_part,NA,destab_regime,success_part
4,5,United States,Bulgaria,1950,1963,0,0,0,1,0,0,NA,NA,NA,destab_regime,NA,NA,NA,NA,NA,success_part,NA,NA,destab_regime,success_part
5,6,CoCom,China,1950,1985,1,0,0,0,0,0,destab_regime,NA,NA,NA,NA,NA,nego_settlement,NA,NA,NA,NA,NA,destab_regime,nego_settlement
6,7,New Zealand,China,1950,1956,1,0,0,0,0,0,destab_regime,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,destab_regime,failed
7,8,Organization of American States,China,1950,1985,1,0,0,0,0,0,destab_regime,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,destab_regime,failed
8,9,South Africa,China,1950,1985,1,0,0,0,0,0,destab_regime,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,destab_regime,failed
9,10,United Kingdom,China,1950,1956,1,0,0,0,0,0,destab_regime,NA,NA,NA,NA,NA,failed,NA,NA,NA,NA,NA,destab_regime,failed
10,11,United States,China,1950,1972,1,0,0,0,1,0,destab_regime,NA,NA,NA,destab_regime,NA,nego_settlement,NA,NA,NA,nego_settlement,NA,destab_regime,nego_settlement
11,12,Austria,Comecon,1950,1994,1,0,0,0,0,0,prevent_war,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,NA,"prevent_war,policy_change","success_total,failed"
12,13,Finland,Comecon,1950,1994,1,0,0,0,0,0,prevent_war,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,NA,"prevent_war,policy_change","success_total,failed"
13,14,Sweden,Comecon,1950,1994,1,0,0,0,0,0,prevent_war,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,NA,"prevent_war,policy_change","success_total,failed"
14,15,Switzerland,Comecon,1950,1994,1,0,0,0,0,0,prevent_war,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,NA,"prevent_war,policy_change","success_total,failed"
15,16,CoCom,Comecon,1950,1994,1,0,0,0,0,0,prevent_war,NA,NA,NA,NA,NA,success_total,NA,NA,NA,NA,NA,"prevent_war,policy_change","success_total,failed"
